   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   3    1    1   2.353904   -17.804268     0.000000      17.8043   61.58303    0.17620    4
   1    6   -4   2.352697    41.680599    -0.000000      41.6806   61.61805    0.96486    4
   0    2    6   2.351832    60.532434    -0.000000      60.5324   61.64319    2.03380    4
   3    1   -5   2.351065    10.080959     0.000000       10.081   61.66550    0.05638    4
   1    5   -5   2.345434   -81.650651     0.000000      81.6507   61.82976    3.68390    4
   2    6    0   2.343503   -13.305036    -0.000000       13.305   61.88633    0.09769    4
   3    3    0   2.341193   -17.522887    -0.000000      17.5229   61.95412    0.16917    4
   1    7    1   2.339906   -74.568291     0.000000      74.5683   61.99198    3.06067    4
   3    3   -4   2.339330   -10.783557     0.000000      10.7836   62.00893    0.06398    4
   3    4   -2   2.318724     1.003026    -0.000000      1.00303   62.62189    0.00055    4
   2    6   -3   2.313107    17.786583    -0.000000      17.7866   62.79122    0.17089    4
   0    6    4   2.304095    60.099214    -0.000000      60.0992   63.06497    1.93874    4
   3    2    1   2.294484     5.734333    -0.000000      5.73433   63.35971    0.01753    4
   3    2   -5   2.291855    35.201841     0.000000      35.2018   63.44087    0.65942    4
   2    3   -6   2.290632    -9.208111    -0.000000      9.20811   63.47868    0.04508    4
   3    4   -1   2.290580    13.651983    -0.000000       13.652   63.48029    0.09909    4
   3    4   -3   2.289707   -52.804412     0.000000      52.8044   63.50732    1.48154    4
   2    5    2   2.288935     0.412752     0.000000     0.412752   63.53122    0.00009    4
   1    6    3   2.285794   -29.491206     0.000000      29.4912   63.62876    0.46085    4
   2    0    4   2.277214   136.762614    -0.000000      136.763   63.89681    4.92542    2
   1    3    5   2.274328    17.245049    -0.000000       17.245   63.98750    0.15631    4
   1    7   -3   2.263410    24.916700    -0.000000      24.9167   64.33315    0.32380    4
   1    5    4   2.261198    -7.234773     0.000000      7.23477   64.40366    0.02726    4
   0    5    5   2.260561    -0.640846     0.000000     0.640846   64.42399    0.00021    4
   2    1    4   2.258804    23.663475    -0.000000      23.6635   64.48017    0.29109    4
   0    3    6   2.255457     3.886364    -0.000000      3.88636   64.58747    0.00783    4
   0    7    3   2.254776   -11.172339     0.000000      11.1723   64.60932    0.06470    4
   2    4    3   2.246040    49.793613    -0.000000      49.7936   64.89137    1.27728    4
   1    4   -6   2.244169    26.134884    -0.000000      26.1349   64.95212    0.35140    4
   2    6    1   2.240762   -21.810498    -0.000000      21.8105   65.06303    0.24414    4
   0    8    0   2.225000   119.696336    -0.000000      119.696   65.58158    3.63555    2
   2    5   -5   2.224381   -25.334136     0.000000      25.3341   65.60211    0.32558    4
   1    7    2   2.220240     4.587972     0.000000      4.58797   65.73990    0.01065    4
   3    4    0   2.211137    43.846742    -0.000000      43.8467   66.04502    0.96610    4
   3    4   -4   2.209567    57.702019     0.000000       57.702   66.09795    1.67125    4
   2    2    4   2.206143    81.106195    -0.000000      81.1062   66.21371    3.29387    4
   3    3    1   2.204726    37.012550    -0.000000      37.0125   66.26172    0.68526    4
   1    1   -7   2.204654    86.566880     0.000000      86.5669   66.26418    3.74835    4
   3    3   -5   2.202393    13.394059     0.000000      13.3941   66.34097    0.08959    4
   0    8    1   2.199710   -13.425639    -0.000000      13.4256   66.43237    0.08984    4
   2    6   -4   2.196922    93.448726    -0.000000      93.4487   66.52759    4.34395    4
   3    0    2   2.182447    87.794818    -0.000000      87.7948   67.02686    1.89737    2
   3    0   -6   2.179431    58.020279     0.000000      58.0203   67.13192    0.82687    2
   2    4   -6   2.168394    15.727650    -0.000000      15.7276   67.51936    0.12056    4
   3    1    2   2.166226    -3.914570     0.000000      3.91457   67.59607    0.00746    4
   2    1   -7   2.163430    -8.769924    -0.000000      8.76992   67.69522    0.03735    4
   3    1   -6   2.163276    -7.208281     0.000000      7.20828   67.70069    0.02523    4
   3    5   -2   2.159667     8.309770     0.000000      8.30977   67.82916    0.03345    4
   1    2   -7   2.155609    16.439210     0.000000      16.4392   67.97426    0.13051    4
   2    7   -1   2.154773   -45.129581    -0.000000      45.1296   68.00424    0.98301    4
   1    4    5   2.154548    49.791928    -0.000000      49.7919   68.01230    1.19642    4
   1    6   -5   2.149167    43.298337    -0.000000      43.2983   68.20600    0.90122    4
   2    7   -2   2.146786   -19.530916     0.000000      19.5309   68.29208    0.18306    4
   1    8   -1   2.143846   -23.996628    -0.000000      23.9966   68.39871    0.27576    4
